Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
1,,,,,,transect sapin de noel 1,4.61921282,50.66902336,177.760,Global,0.133,0.190,0.331,0.232,1.914,m,SINGLE,NONE,2026-03-11 09:38:18.8 UTC+01:00,2026-03-11 09:38:23.8 UTC+01:00,26,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
2,,,,,,transect sapin de noel 2,4.61921307,50.66899038,178.711,Global,0.124,0.178,0.317,0.217,1.914,m,SINGLE,NONE,2026-03-11 09:39:08.8 UTC+01:00,2026-03-11 09:39:13.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
3,,,,,,transect sapin de noel 3,4.61921204,50.66896337,179.295,Global,0.110,0.163,0.313,0.197,1.914,m,SINGLE,NONE,2026-03-11 09:39:31.4 UTC+01:00,2026-03-11 09:39:36.4 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
4,,,,,,transect sapin de noel 4,4.61922023,50.66893315,180.325,Global,0.159,0.157,0.333,0.224,1.914,m,SINGLE,NONE,2026-03-11 09:39:52.6 UTC+01:00,2026-03-11 09:39:57.6 UTC+01:00,26,1.3,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
5,,,,,,transect sapin de noel 5,4.61921669,50.66889589,180.314,Global,0.139,0.163,0.324,0.215,1.914,m,SINGLE,NONE,2026-03-11 09:40:20.6 UTC+01:00,2026-03-11 09:40:25.6 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
6,,,,,,transect sapin de noel 6,4.61921479,50.66885129,180.208,Global,0.112,0.199,0.305,0.228,1.914,m,SINGLE,NONE,2026-03-11 09:41:07.8 UTC+01:00,2026-03-11 09:41:12.8 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
7,,,,,,transect petits escaliers 1,4.61930029,50.66884497,180.344,Global,0.113,0.180,0.324,0.213,1.914,m,SINGLE,NONE,2026-03-11 09:41:45.4 UTC+01:00,2026-03-11 09:41:50.4 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
8,,,,,,transect petits escaliers 2,4.61929656,50.66888151,180.926,Global,0.105,0.150,0.261,0.183,1.914,m,SINGLE,NONE,2026-03-11 09:42:16.4 UTC+01:00,2026-03-11 09:42:21.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
9,,,,,,transect petits escaliers 3,4.61929347,50.66891700,180.447,Global,0.114,0.154,0.261,0.192,1.914,m,SINGLE,NONE,2026-03-11 09:42:57.6 UTC+01:00,2026-03-11 09:43:02.6 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
10,,,,,,transect petits escaliers 4,4.61930438,50.66894418,180.185,Global,0.155,0.147,0.323,0.214,1.914,m,SINGLE,NONE,2026-03-11 09:43:32.0 UTC+01:00,2026-03-11 09:43:37.0 UTC+01:00,26,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
