Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
1,,,,,,roche bartyne,4.61937586,50.66905942,175.774,Global,0.005,0.005,0.008,0.007,1.914,m,FIX,NONE,2026-03-11 09:19:49.0 UTC+01:00,2026-03-11 09:19:54.0 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
2,,,,,,grosse marche dessus,4.61944358,50.66900299,176.303,Global,0.005,0.008,0.011,0.009,1.914,m,FIX,NONE,2026-03-11 09:20:59.4 UTC+01:00,2026-03-11 09:21:04.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
3,,,,,,grosse marche devant,4.61943831,50.66900453,175.899,Global,0.005,0.008,0.010,0.009,1.914,m,FIX,NONE,2026-03-11 09:21:17.2 UTC+01:00,2026-03-11 09:21:22.2 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
4,,,,,,bord vers A10,4.61929653,50.66886480,177.719,Global,0.006,0.005,0.012,0.008,1.914,m,FIX,NONE,2026-03-11 09:22:44.8 UTC+01:00,2026-03-11 09:22:49.8 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
5,,,,,,lampadaire 1,4.61926449,50.66887622,177.565,Global,0.005,0.006,0.012,0.008,1.914,m,FIX,NONE,2026-03-11 09:23:30.6 UTC+01:00,2026-03-11 09:23:35.6 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
6,,,,,,arbre ruban,4.61920062,50.66889981,177.731,Global,0.005,0.006,0.011,0.008,1.914,m,FIX,NONE,2026-03-11 09:24:26.0 UTC+01:00,2026-03-11 09:24:31.0 UTC+01:00,26,1.2,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
7,,,,,,debut petites marches (vers A10),4.61928658,50.66894733,177.688,Global,0.005,0.005,0.012,0.007,1.914,m,FIX,NONE,2026-03-11 09:25:09.4 UTC+01:00,2026-03-11 09:25:14.4 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
8,,,,,,lampadaire 2,4.61925375,50.66897622,176.749,Global,0.005,0.006,0.014,0.008,1.914,m,FIX,NONE,2026-03-11 09:25:49.8 UTC+01:00,2026-03-11 09:25:54.8 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
9,,,,,,sapin de noel,4.61921363,50.66904309,175.820,Global,0.004,0.008,0.011,0.009,1.914,m,FIX,NONE,2026-03-11 09:26:23.8 UTC+01:00,2026-03-11 09:26:28.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
10,,,,,,lampadaire 3,4.61924301,50.66908463,175.688,Global,0.005,0.007,0.013,0.009,1.914,m,FIX,NONE,2026-03-11 09:27:12.8 UTC+01:00,2026-03-11 09:27:17.8 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
11,,,,,,bord lavoisier,4.61923551,50.66915578,174.051,Global,0.005,0.006,0.015,0.008,1.914,m,FIX,NONE,2026-03-11 09:28:02.0 UTC+01:00,2026-03-11 09:28:07.0 UTC+01:00,26,1.6,1.8,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
12,,,,,,bord mercator,4.61948432,50.66916346,174.377,Global,0.007,0.010,0.016,0.012,1.914,m,FIX,NONE,2026-03-11 09:28:49.8 UTC+01:00,2026-03-11 09:28:54.8 UTC+01:00,26,2.1,2.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
13,,,,,,gros tilleul,4.61947499,50.66911976,175.165,Global,0.006,0.008,0.025,0.010,1.914,m,FIX,NONE,2026-03-11 09:29:38.4 UTC+01:00,2026-03-11 09:29:43.4 UTC+01:00,26,2.5,3.0,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
