Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
1,,,,,,transect sapin de noel 1,4.61921203,50.66904099,175.861,Global,0.004,0.007,0.010,0.008,1.914,m,FIX,NONE,2026-03-11 09:38:18.8 UTC+01:00,2026-03-11 09:38:23.8 UTC+01:00,26,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
2,,,,,,transect sapin de noel 2,4.61921602,50.66901113,176.234,Global,0.004,0.007,0.011,0.009,1.914,m,FIX,NONE,2026-03-11 09:39:08.8 UTC+01:00,2026-03-11 09:39:13.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
3,,,,,,transect sapin de noel 3,4.61921501,50.66897776,176.859,Global,0.007,0.007,0.010,0.010,1.914,m,FIX,NONE,2026-03-11 09:39:31.4 UTC+01:00,2026-03-11 09:39:36.4 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
4,,,,,,transect sapin de noel 4,4.61921655,50.66894640,177.540,Global,0.004,0.006,0.009,0.007,1.914,m,FIX,NONE,2026-03-11 09:39:52.6 UTC+01:00,2026-03-11 09:39:57.6 UTC+01:00,26,1.3,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
5,,,,,,transect sapin de noel 5,4.61921538,50.66891112,177.727,Global,0.004,0.005,0.009,0.007,1.914,m,FIX,NONE,2026-03-11 09:40:20.6 UTC+01:00,2026-03-11 09:40:25.6 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
6,,,,,,transect sapin de noel 6,4.61921623,50.66886896,177.674,Global,0.004,0.010,0.013,0.010,1.914,m,FIX,NONE,2026-03-11 09:41:07.8 UTC+01:00,2026-03-11 09:41:12.8 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
7,,,,,,transect petits escaliers 1,4.61929647,50.66886811,177.699,Global,0.004,0.005,0.010,0.007,1.914,m,FIX,NONE,2026-03-11 09:41:45.4 UTC+01:00,2026-03-11 09:41:50.4 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
8,,,,,,transect petits escaliers 2,4.61929271,50.66890599,177.734,Global,0.005,0.007,0.011,0.008,1.914,m,FIX,NONE,2026-03-11 09:42:16.4 UTC+01:00,2026-03-11 09:42:21.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
9,,,,,,transect petits escaliers 3,4.61928797,50.66893672,177.674,Global,0.004,0.006,0.010,0.007,1.914,m,FIX,NONE,2026-03-11 09:42:57.6 UTC+01:00,2026-03-11 09:43:02.6 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
10,,,,,,transect petits escaliers 4,4.61928908,50.66895743,177.292,Global,0.003,0.005,0.010,0.006,1.914,m,FIX,NONE,2026-03-11 09:43:32.0 UTC+01:00,2026-03-11 09:43:37.0 UTC+01:00,26,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
11,,,,,,transect petits escaliers 5,4.61928651,50.66897626,176.831,Global,0.005,0.007,0.011,0.009,1.914,m,FIX,NONE,2026-03-11 09:44:21.0 UTC+01:00,2026-03-11 09:44:26.0 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
12,,,,,,transect petits escaliers 6,4.61928520,50.66899361,176.387,Global,0.008,0.007,0.011,0.011,1.914,m,FIX,NONE,2026-03-11 09:44:53.8 UTC+01:00,2026-03-11 09:44:58.8 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
13,,,,,,transect petits escaliers 7,4.61928107,50.66901835,175.903,Global,0.005,0.006,0.012,0.008,1.914,m,FIX,NONE,2026-03-11 09:45:51.8 UTC+01:00,2026-03-11 09:45:56.8 UTC+01:00,26,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
14,,,,,,transect petits escaliers 8,4.61927654,50.66904759,175.920,Global,0.004,0.007,0.011,0.008,1.914,m,FIX,NONE,2026-03-11 09:46:39.4 UTC+01:00,2026-03-11 09:46:44.4 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
15,,,,,,transect petits escaliers 9,4.61927218,50.66907228,175.907,Global,0.006,0.008,0.012,0.010,1.914,m,FIX,NONE,2026-03-11 09:47:14.8 UTC+01:00,2026-03-11 09:47:19.8 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
16,,,,,,transect petits escaliers 10,4.61927293,50.66909666,175.891,Global,0.004,0.008,0.013,0.010,1.914,m,FIX,NONE,2026-03-11 09:47:55.8 UTC+01:00,2026-03-11 09:48:00.8 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
17,,,,,,transect petits escaliers 11,4.61927067,50.66910868,175.465,Global,0.004,0.006,0.010,0.008,1.914,m,FIX,NONE,2026-03-11 09:48:21.6 UTC+01:00,2026-03-11 09:48:26.6 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
18,,,,,,transect petits escaliers 12,4.61926529,50.66912831,174.988,Global,0.005,0.009,0.013,0.010,1.914,m,FIX,NONE,2026-03-11 09:49:00.4 UTC+01:00,2026-03-11 09:49:05.4 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
19,,,,,,transect petits escaliers 13,4.61926562,50.66914467,174.565,Global,0.005,0.007,0.011,0.009,1.914,m,FIX,NONE,2026-03-11 09:49:28.6 UTC+01:00,2026-03-11 09:49:33.6 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
20,,,,,,transect petits escaliers 14,4.61926412,50.66915499,174.098,Global,0.004,0.007,0.012,0.008,1.914,m,FIX,NONE,2026-03-11 09:49:50.8 UTC+01:00,2026-03-11 09:49:55.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
21,,,,,,transect escalier lavoisier 1,4.61933600,50.66915699,174.117,Global,0.004,0.009,0.012,0.010,1.914,m,FIX,NONE,2026-03-11 09:52:00.0 UTC+01:00,2026-03-11 09:52:05.0 UTC+01:00,26,1.5,1.7,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
22,,,,,,transect escalier lavoisier 2,4.61933602,50.66914814,174.561,Global,0.005,0.008,0.011,0.009,1.914,m,FIX,NONE,2026-03-11 09:52:18.0 UTC+01:00,2026-03-11 09:52:23.0 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
23,,,,,,transect escalier lavoisier 3,4.61933755,50.66913718,174.999,Global,0.005,0.009,0.013,0.011,1.914,m,FIX,NONE,2026-03-11 09:52:37.4 UTC+01:00,2026-03-11 09:52:42.4 UTC+01:00,26,1.6,1.9,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
